ADGRA3	GO:0007166, GO:0004888, GO:0016021, GO:0007186, GO:0004930, GO:0005515, GO:0016020, GO:0009897
ADGRL2	GO:0098978, GO:0051965, GO:0099055, GO:0009617, GO:0030246, GO:0007166, GO:0004888, GO:0016021, GO:0007186, GO:0004930, GO:0016020, GO:0050808
ADH1	GO:0016491, GO:0008270, GO:0055114
ADIPOQ	GO:0005615, GO:0001934, GO:0045892, GO:0072659, GO:0009986, GO:0034383, GO:1905598, GO:0031953, GO:0045776, GO:0042803, GO:0070373, GO:0034612, GO:0043124, GO:0045599, GO:0010875, GO:0032720, GO:2000279, GO:0010745, GO:0010906, GO:0032757, GO:2000481, GO:0034115, GO:0005179, GO:0071639, GO:0010642, GO:0033691, GO:0010739, GO:0010804, GO:0030853, GO:0033034, GO:0045650, GO:0050765, GO:0050805, GO:0090317, GO:1900121, GO:1904706, GO:1904753, GO:2000534, GO:0005515, GO:0110113
ADIPOR1	GO:0016021
ADNP2	GO:0034599, GO:0030307, GO:0060548, GO:0071300, GO:0030182, GO:0003677, GO:0003676
ADORA1	GO:0001973, GO:0001609, GO:0016021, GO:0007186, GO:0004930, GO:0005886, GO:0045202, GO:0060079, GO:0050728, GO:0002686, GO:0003093, GO:0070256, GO:1900453, GO:0051930, GO:0043197
ADPRM	GO:0016787
ADRA1A	GO:0005634, GO:0005654, GO:0005829, GO:0005737, GO:0016020, GO:0005886, GO:0043231, GO:0046982, GO:0001985, GO:0001994, GO:0001996, GO:0001997, GO:0007200, GO:0007512, GO:0010507, GO:0010613, GO:0035265, GO:0043410, GO:0061049, GO:1903997, GO:0004937, GO:0045987, GO:0097195, GO:0150099, GO:0031965, GO:0004935, GO:0055117, GO:0019229, GO:0006937, GO:0016021, GO:0007186, GO:0004930
ADRA2A	GO:0005737, GO:0019901, GO:0046982, GO:2000300, GO:0043235, GO:0042803, GO:0007186, GO:0098691, GO:0043406, GO:0042596, GO:0030335, GO:0042593, GO:0004938, GO:0031696, GO:0031996, GO:0032795, GO:0051379, GO:0051380, GO:0001819, GO:0032147, GO:0032148, GO:0032870, GO:0035624, GO:0043410, GO:0045741, GO:0046676, GO:0050995, GO:0051044, GO:0061179, GO:0071875, GO:0071881, GO:0071882, GO:0090303, GO:0005887, GO:0004935, GO:0016021, GO:0004930
ADRB1	GO:0016020, GO:0005886, GO:0050873, GO:0120162, GO:0046982, GO:0001996, GO:0001997, GO:0007189, GO:0005769, GO:0030165, GO:0043547, GO:0098685, GO:0002024, GO:0002025, GO:0009409, GO:0031649, GO:0040015, GO:0005085, GO:0042596, GO:0004940, GO:0031694, GO:0099579, GO:0045187, GO:0071880, GO:0045823, GO:0004935, GO:0016021, GO:0007186, GO:0004930
ADRB2	GO:0045453, GO:0016020, GO:0005794, GO:0042802, GO:0016324, GO:0005634, GO:0005886, GO:0045944, GO:0050873, GO:0120162, GO:0007189, GO:0019899, GO:1904646, GO:0002024, GO:0002025, GO:0009409, GO:0031649, GO:0040015, GO:0042803, GO:0030501, GO:0005887, GO:0001540, GO:0044877, GO:0002028, GO:0015459, GO:0010739, GO:0001993, GO:0045986, GO:0004941, GO:0008179, GO:0051380, GO:0002032, GO:0006898, GO:0007190, GO:0043410, GO:0061885, GO:0071875, GO:0071902, GO:1901098, GO:1904504, GO:2000969, GO:0043235, GO:0097746, GO:0006940, GO:0004935, GO:0016021, GO:0007186, GO:0004930
ADRB3	GO:0016021, GO:0004930, GO:0004935, GO:0007186
AFG3L2	GO:0004176, GO:0004222, GO:0006508, GO:0008270, GO:0016021, GO:0016020, GO:0016887, GO:0005524, GO:0005739, GO:0005743, GO:0007409, GO:0048747, GO:0008237, GO:0007005, GO:0034982, GO:0042407, GO:0042552, GO:0051560, GO:0060013, GO:0040014, GO:0016540, GO:0008053, GO:0007528, GO:0033619, GO:0021675, GO:0016485, GO:0036444, GO:0005745
AGBL5	GO:0005634, GO:0005829, GO:0051607, GO:0030496, GO:0045171, GO:0015630, GO:0005737, GO:0072686, GO:0004181, GO:0015631, GO:0035608, GO:0035611, GO:0006508, GO:0008270
AGFG1	GO:0043231, GO:0005096
AGPAT3	GO:0005789, GO:0005635, GO:0005783, GO:0003841, GO:0042171, GO:0016746
AGR2	GO:0010628, GO:0005783, GO:0042802, GO:0005615, GO:0060548, GO:1903078, GO:0005154, GO:0010811, GO:0002162, GO:0045742, GO:0060480, GO:1903899, GO:0048546, GO:0048639, GO:0070254, GO:1903896
AGTR2	GO:0035556, GO:0045893, GO:0010459, GO:0090190, GO:0051000, GO:0042311, GO:0006954, GO:0072300, GO:0004945, GO:0035640, GO:2001238, GO:0002033, GO:0002035, GO:0001991, GO:0007166, GO:0007199, GO:0032516, GO:0035566, GO:0051387, GO:0097746, GO:0042981, GO:0016021, GO:0007186, GO:0004930
AIFM1	GO:0005634, GO:0051402, GO:0005737, GO:0003677, GO:0005829, GO:0005758, GO:0005739, GO:0006915, GO:0016174, GO:0071949, GO:0010942, GO:1902510, GO:0016651, GO:0006919, GO:0070059, GO:0045041, GO:0033108, GO:0050660, GO:0055114, GO:0016491, GO:0046983
AIMP2	GO:0017101
AIP	GO:0005829, GO:0005886, GO:0051082, GO:0006626, GO:0036004, GO:0022417, GO:0003755, GO:0005515
AJAP1	GO:0009986, GO:0009898, GO:0044877, GO:0016323, GO:0044291, GO:0005912, GO:0008013, GO:0001953, GO:0061045, GO:0030860, GO:0044214
AJM1	GO:0045216
AK3	GO:0005739, GO:0046899, GO:0046033, GO:0046039, GO:0005759, GO:0016776, GO:0046041, GO:0046051, GO:0004017, GO:0006139, GO:0019205, GO:0005524
AK6	GO:0005829, GO:0016607, GO:0005813, GO:0005654, GO:0015030, GO:0004017, GO:0005524, GO:0016887
AK7	GO:0004017, GO:0004550, GO:0006165, GO:0009142, GO:0004127, GO:0006139, GO:0019205, GO:0016887, GO:0005524
AKAP17A	GO:0005634, GO:0005829, GO:0016607, GO:0043484, GO:0051018, GO:0003676
ALAD	GO:0004655, GO:0008270, GO:0042802, GO:0006783, GO:0051260, GO:1901799, GO:0033014, GO:0003824, GO:0046872
ALDH2	GO:0016491, GO:0016620, GO:0055114
ALDOA	GO:0005829, GO:0008360, GO:0046716, GO:0004332, GO:0008092, GO:0030388, GO:0015629, GO:0070062, GO:0070061, GO:0006000, GO:0006096, GO:0007339, GO:0003824, GO:0006754, GO:0006941, GO:0061827
ALG11	GO:0004377, GO:0016757, GO:0005789
ALG2	GO:0005634, GO:0005829, GO:0005737, GO:0016020, GO:0048471, GO:0047485, GO:0046982, GO:0048306, GO:0051592, GO:0015629, GO:0006488, GO:0000033, GO:0033577, GO:0004378, GO:0006486, GO:0016757
ALKBH1	GO:0005654, GO:0001764, GO:0005739, GO:0048589, GO:0001701, GO:0043524, GO:0001890, GO:0010468, GO:0030154, GO:0031175, GO:0000049, GO:0008198, GO:0016706, GO:0035515, GO:0035516, GO:0042056, GO:0070579, GO:0140078, GO:1990984, GO:0002101, GO:0006281, GO:0006307, GO:0006446, GO:0006448, GO:0035513, GO:0042245, GO:0070129, GO:0070989, GO:0080111, GO:1990983, GO:0005783, GO:0000791, GO:0055114, GO:0016491
ALKBH2	GO:0005654, GO:0008198, GO:0006307, GO:0016706, GO:0043734, GO:0051747, GO:0035511, GO:0006281, GO:0055114, GO:0016491
ALKBH3	GO:0005654, GO:0005829, GO:0005739, GO:0008198, GO:0006281, GO:0006307, GO:0008283, GO:0035553, GO:0043734, GO:1990930, GO:0035552, GO:0051213, GO:0055114, GO:0016491
ALKBH6	GO:0005654, GO:0005925, GO:0055114, GO:0016491
ALKBH7	GO:0005739, GO:0006974, GO:0005759, GO:0006631, GO:1902445, GO:0010883
ALPK1	GO:0005829, GO:0004674, GO:0043123, GO:0045087, GO:0002753, GO:0048029, GO:0006468, GO:0005524
ALYREF	GO:0016607, GO:0003676
AMACR	GO:0005737, GO:0005886, GO:0043231, GO:0005739, GO:0005777, GO:0008206, GO:0008111, GO:0008410, GO:0003824
AMER2	GO:0005886, GO:0090090, GO:0005546
AMIGO2	GO:0051965, GO:0043066, GO:0005515
AMIGO3	GO:0051965, GO:0005515
AMN1	GO:0005515
AMOT	GO:0005654, GO:0034613, GO:0030054, GO:0008180, GO:0009897, GO:0030139, GO:0030027, GO:0005884, GO:0001726, GO:0016525, GO:0038023, GO:0030334, GO:0035329, GO:0043532
ANAPC7	GO:0015630, GO:0005634, GO:0070979, GO:0005680, GO:0005819, GO:0019903, GO:0005515
ANGEL1	GO:0008190, GO:0005829, GO:0019904, GO:0005634, GO:0005783, GO:0005801, GO:0048471
ANGPTL7	GO:0042802, GO:0005576, GO:1901346, GO:1903053
ANKEF1	GO:0005509, GO:0005515
ANKHD1	GO:0003676, GO:0003723, GO:0005515
ANKIB1	GO:0016567, GO:0004842, GO:0005515
ANKRD1	GO:0005654, GO:0043065, GO:0005737, GO:0035690, GO:0005634, GO:0002039, GO:0001650, GO:0032991, GO:0005667, GO:0006357, GO:0071222, GO:0003677, GO:0070412, GO:0003714, GO:0035914, GO:0050714, GO:0071260, GO:0042826, GO:0005829, GO:0001085, GO:0003713, GO:0030016, GO:0071560, GO:0071356, GO:0031674, GO:0043517, GO:0031432, GO:2000279, GO:0055008, GO:0071347, GO:0070528, GO:0035994, GO:0005515
ANKRD13D	GO:0005737, GO:0048471, GO:0005886, GO:0140036, GO:0002091, GO:0005515
ANKRD2	GO:0005515, GO:0043231
ANKRD27	GO:0005886, GO:0005770, GO:0032456, GO:0042470, GO:0005769, GO:0031267, GO:0005085, GO:0035646, GO:0048812, GO:0050775, GO:0043005, GO:0030133, GO:0000149, GO:0005764, GO:0097422, GO:0035544, GO:0045022, GO:0005515
ANKRD34A	GO:0005515
ANKRD34B	GO:0005515
ANKRD49	GO:0045893, GO:0005515
ANKRD50	GO:0032456, GO:0005515
ANKRD63	GO:0005515
ANKRD65	GO:0005515
ANKRD9	GO:0031410, GO:0005829, GO:0016567, GO:0043161, GO:1990756, GO:0031466, GO:0006878, GO:0005515
ANPEP	GO:0005886, GO:0005615, GO:0070062, GO:0009897, GO:0005793, GO:0008237, GO:0006508, GO:0008270
ANXA1	GO:0005654, GO:0005829, GO:0005737, GO:0006909, GO:0005886, GO:0005768, GO:0005615, GO:0009986, GO:0005634, GO:0090050, GO:0070062, GO:0007165, GO:0042102, GO:0042383, GO:0042127, GO:0016328, GO:0008360, GO:0005544, GO:0006954, GO:0035924, GO:0019898, GO:0016324, GO:0030216, GO:0032743, GO:0031340, GO:0031532, GO:0018149, GO:1900087, GO:0001533, GO:0046883, GO:0050727, GO:0031514, GO:0090303, GO:0071385, GO:0002548, GO:0071621, GO:0005884, GO:0045920, GO:0045627, GO:0045629, GO:0050482, GO:0019834, GO:0001780, GO:0002685, GO:0007187, GO:0014839, GO:0032652, GO:0033031, GO:0046632, GO:0097350, GO:0031232, GO:0048306, GO:0004859, GO:0005509, GO:0032717
ANXA2	GO:0005737, GO:0042802, GO:0001765, GO:0009986, GO:0045121, GO:0005829, GO:0005768, GO:0030496, GO:0005886, GO:0030199, GO:0016323, GO:0005765, GO:0001525, GO:0005769, GO:0070062, GO:1990667, GO:0042383, GO:0005544, GO:0031902, GO:0006900, GO:0005546, GO:0044548, GO:0043220, GO:0031340, GO:0002020, GO:0005811, GO:0004867, GO:0019897, GO:0052405, GO:0035749, GO:1905581, GO:1905602, GO:0001921, GO:0042730, GO:0051099, GO:0032804, GO:1905597, GO:1905599, GO:0048306, GO:0008092, GO:0004859, GO:0005509, GO:0019834, GO:0036035, GO:0044090, GO:0044147, GO:0052362, GO:1990665
AP1S3	GO:0043231, GO:0006605, GO:0030117, GO:0015031, GO:0006886, GO:0016192
AP4B1	GO:0005829, GO:0005802, GO:0019898, GO:0030124, GO:0030117, GO:0016192, GO:0006886, GO:0015031, GO:0030276, GO:0030131
AP4M1	GO:0030131, GO:0016192, GO:0006886, GO:0019904, GO:0005802, GO:0006622, GO:0008104, GO:0006605, GO:0030124, GO:0090160, GO:0006895
AP5M1	GO:0016020, GO:0005829, GO:0005764, GO:0005770, GO:0016197, GO:0030119
APCDD1	GO:0042802, GO:0005887, GO:0030178, GO:0017147, GO:0001942, GO:0005886
APH1B	GO:0016021, GO:0016485, GO:0043085
APIP	GO:0005737, GO:0043066, GO:0042802, GO:0008270, GO:0051289, GO:0070372, GO:0019509, GO:0070269, GO:0046570, GO:0046872
APLNR	GO:0005886, GO:0045766, GO:0043951, GO:0010629, GO:0060412, GO:0007512, GO:0010468, GO:0001947, GO:0007186, GO:0003272, GO:0051281, GO:0060841, GO:0031065, GO:0001570, GO:0060976, GO:1903589, GO:1904325, GO:0016021, GO:0004930, GO:0003171, GO:1903596, GO:0001944, GO:0035886, GO:0035904, GO:0060183
APMAP	GO:0016844, GO:0016020, GO:0009986, GO:0004064, GO:0009058
APOBEC2	GO:0003824
APOH	GO:0005615, GO:0042802, GO:0009986, GO:0005543, GO:0034361, GO:0042627, GO:0016525, GO:0008289, GO:0051006, GO:0034364, GO:0034392, GO:0051918, GO:0001937, GO:0010596, GO:0030193, GO:0031639, GO:0060230, GO:0006641, GO:0007597, GO:0030195, GO:0033033, GO:0051917
APOLD1	GO:0042157, GO:0008289, GO:0006869, GO:0005576
APPL2	GO:0005634, GO:0005737, GO:0016020, GO:0001786, GO:0042802, GO:0042803, GO:0005886, GO:0031410, GO:0007179, GO:0032587, GO:0031982, GO:0005768, GO:0042593, GO:2000045, GO:0051289, GO:0010008, GO:0044877, GO:0060100, GO:0001726, GO:0002024, GO:0035091, GO:0032009, GO:0045088, GO:0006606, GO:0033211, GO:0046325, GO:0044354, GO:0010762, GO:1900016, GO:0009631, GO:0035729, GO:0034143, GO:0046322, GO:0050768, GO:0120162, GO:1900077, GO:1905303, GO:1905451, GO:2000178, GO:0036186, GO:0005515
APTX	GO:0051219, GO:0047485, GO:0000785, GO:0006266, GO:0000012, GO:0006974, GO:0005654, GO:0003682, GO:0005730, GO:0031647, GO:0033699, GO:0003684, GO:0042542, GO:0003725, GO:0003690, GO:0008967, GO:0006281, GO:0003824, GO:0005515, GO:0003677, GO:0003676
AQP4	GO:0005737, GO:0005886, GO:0005887, GO:0051289, GO:0009897, GO:0071346, GO:0015250, GO:0006833, GO:0042383, GO:0050891, GO:0015267, GO:0055085, GO:0016020
AQP5	GO:0042802, GO:0016324, GO:0005886, GO:0005783, GO:0005887, GO:0051289, GO:0042476, GO:0006833, GO:0015250, GO:0030659, GO:0005902, GO:0048593, GO:0046541, GO:0015670, GO:0030157, GO:0071476, GO:0009925, GO:0015267, GO:0055085, GO:0016020
ARAF	GO:0033138, GO:0043066, GO:0004674, GO:0032006, GO:0032434, GO:0035556, GO:0006468, GO:0004672, GO:0007165, GO:0005524, GO:0005739
ARC	GO:0005737, GO:0005886, GO:0016477, GO:0007010, GO:0022604, GO:0009952, GO:0098978, GO:0030425, GO:0099149, GO:0043197, GO:0045121, GO:0007492, GO:0050804, GO:0007616, GO:0071598, GO:1900271, GO:1900452
AREG	GO:0005154
AREL1	GO:0004842, GO:0043066, GO:0005829, GO:0016567, GO:0006511, GO:0050727
ARF1	GO:0005525
ARF3	GO:0005525
ARF6	GO:0005737, GO:0005886, GO:0005768, GO:0032456, GO:0032154, GO:0010975, GO:0030139, GO:0060998, GO:0030838, GO:0097178, GO:0030866, GO:0005938, GO:0001726, GO:0090162, GO:0097284, GO:0050714, GO:0001889, GO:0055038, GO:0019003, GO:1903078, GO:0031996, GO:0090543, GO:0047485, GO:2000009, GO:0036010, GO:0034394, GO:0031527, GO:0051489, GO:0035020, GO:0005829, GO:0033028, GO:0051549, GO:0120183, GO:0005525, GO:0016020, GO:0003924
ARFGAP2	GO:0005829, GO:0005886, GO:0005794, GO:0005096
ARFGEF2	GO:0005085, GO:0032012, GO:0005086
ARHGAP19	GO:0007165
ARHGAP29	GO:0005737, GO:0032991, GO:0030165, GO:0035556, GO:0007165
ARHGAP31	GO:0007165
ARHGAP40	GO:0007165
ARHGAP5	GO:0005829, GO:0042169, GO:0005783, GO:0007165, GO:0005525, GO:0003924
